tid	defect	outcome	hidden	why
T100	18	-	Request host is the Host header with any port stripped or the bound address	Request host most naturally means the Host header verbatim, which is what a test comparing against its own base URL would compute.
T53	15	-	attachment takes precedence, or both present is 400	"The spec says ""file or attachment"" and never orders them; a reference could pick either part or reject the pair, and the text does not decide."
T65	15	-	Content-Type must equal text/csv exactly with no parameters	The header is written bare in the spec, so an equality assertion is defensible, though most authors accommodate a charset parameter.
T42	15	-	A named timeout setting or fixed budget that a slow query must trip	No duration, knob, or triggering input is stated, so a timing test would have to invent one; more likely the row is simply untested.
T58	15	-	Any Content-Type other than multipart/form-data is non-multipart, 415	The tester's own test already accepts both statuses, so only an exact-status assertion on this exotic input could bite.
T86	15	-	0 or values with whitespace or leading zeros are invalid config	Integer bytes is underspecified only at the margins, and a test would most likely use a plain positive number or an obvious non-integer.
T31	15	-	Descending order is the exact reverse of ascending, ties in reverse source order.	Sorting is stable is stated for both directions and sorted(reverse=True) plus SQLite both keep ties in source order, so the tests almost surely agree.
T39	15	-	Duplicate labels are rejected or renamed at ingestion, so the filter never sees two.	SQLite refuses duplicate column names so a reference might dedupe headers, but a test on filtering a duplicated label is improbable.
T51	15	-	Export applies no default row limit; all rows unless _size is given.	Applies the same pagination reads as including the default 100 cap, but an author may see export as a full dump and not cap it.
T87	15	-	Keys are matched byte-exact; whitespace around = makes the line invalid.	KEY=VALUE describes a shape and booleans are already trimmed, so a test fixture with padding would most likely be accepted by both sides.
T20	15	-	A blank line is a data row of one empty cell	"Only a csv.reader-based reference that never filters empties would count blank lines, and the ""at least one data row"" rule reads naturally as excluding them."
T28	15	-	-	Degenerate headers with `_shape=objects` are rarely fixtured and the spec lists no error, so tests probably do not pin this.
T40	15	-	-	Duplicate filter keys with the key being the whole parameter name is the reading a reference would implement by default via multi-dict inspection.
T52	15	-	Upload id also depends on the uploaded file name	"A reference that hashes bytes only is the overwhelming default, and ""same file bytes"" names the sole input; only a name-keyed store would diverge."
T76	15	-	-	Deleting a dataset on a failed non-forced refetch is an odd thing to implement, so tests most likely assert survival or do not probe it.
T104	15	-	A fresh directory must not see previously persisted datasets	A negative persistence test is plausible but a fresh directory forgets data naturally in any file-backed store, so a divergence is unlikely to be observable.
T124	15	-	-	"Standard JSON errors plus ""keep existing error codes"" leave no room for a new status, and the survival requirement matches the cache section."
T113	14	-	Entry describes the rightmost duplicate column (dict comprehension overwrite)	keyed by column name forces one entry but a reference dict built in column order silently keeps the last, contradicting the leftmost rule the suite uses elsewhere.
T21	12	-	CR-only files parse into rows like Python csv does	Spec names no terminator; a test author using csv.reader gets rows from CR-only input for free and may assert them.
T73	12	-	Process must exit within a short timeout with a specific message on stderr	fail startup fixes no timing or wording, so a test that waits a fixed interval or greps a message asserts more than the text.
T109	12	-	row_count equals the filtered or paginated row count of the current response	"ingestion enrichment and ""recomputes metadata from current source bytes"" tie the counts to the dataset, but a test written on a small unfiltered table cannot tell and a filtered one might."
T26	12	-	-	The spec never mentions duplicate labels in sorting, and leftmost is what any lookup by first match yields, so a test would most likely land on the same answer.
T66	12	-	Export reuses the delimiter inferred from the source	Nothing in the export section mentions the delimiter, and csv.writer's default comma is what a reference would emit.
T70	12	-	A restarted instance answers without re-downloading	Can return the cached id is permissive, so a test cannot demand a hit, and a persisted-cache test would be phrased under STORAGE_DIR instead.
T90	12	-	Only the effective value is parsed, so a garbage file entry masked by an env var starts fine	Most implementations merge raw strings before parsing, but a test pairing a bad file value with an env override is an unlikely fixture.
T43	12	-	Filter validation runs first, so an unknown id with a bad filter is 400.	If id unknown return 404 is unconditional and every framework resolves the dataset before reading its columns.
T47	12	-	Floats exported with a trailing .0 or strings JSON-quoted.	Semantically-correct CSV plus a required round trip pins values not bytes, so a divergent test would have to parse and still disagree.
T55	12	-	Upload of bytes B and convert of a URL serving B share one id.	The two id rules key on different inputs and the tester asserts neither equality nor inequality, so only an equality test could bite.
T91	12	-	An empty ORIGIN_ALLOWLIST value is an active allowlist that matches nothing.	No allowlist means all requests pass covers the empty case, and a test setting the variable to nothing is unlikely.
T32	12	-	-	`hide` is the only valid value and no shape-dependent error is listed, so a 400 here would need an invented rule.
T68	12	-	-	Tests that count origin hits under caching agree with the mandatory reading; the permissive reading would leave nothing to test.
T92	12	-	-	Domain-boundary points squarely at label matching, and allowing the bare suffix is what any allowlist author would expect.
T108	12	-	-	"The one label the spec fixes is the lower-case family name, and ""csv"" is the only spelling that mirrors it."
T89	10	-	Duplicate key is an invalid config file and the process exits	Last-wins is the convention and the likely dict-based reference behaviour; a strict reference is possible but less common.
T93	10	-	-	file size and MAX_SOURCE_SIZE both name the document bytes; counting multipart framing would make the limit filename-dependent.
T30	10	-	-	The unknown-id sentence is unconditional and lookup-before-validate is the default control flow, so a divergent 400 would need an unusual reference.
T98	10	-	Unknown routes still 404 without a Referer	Before routing is explicit, so a per-route-decorator reference would contradict the text but few tests would probe the unknown-route case without a Referer.
T102	10	-	-	Datasets must survive is the natural strong reading and the tester takes it, leaving little for a test to contradict.
T126	10	-	-	The enrichment section explicitly leaves rows and total unchanged, and a blank-row spreadsheet fixture is an unlikely test choice.
T3	10	-	Id derived from the full query string including charset.	Both the convert section and Determinism name only the source URL, so a test author hashing more than that would be ignoring two sentences.
T48	10	-	-	`<dataset-id>` has one definition, the path segment, and a test would derive the filename from the endpoint it got back.
T80	10	-	-	`force` is defined under the ingestion bypass and the query endpoint's control list is exhaustive, so a 400 test here is improbable.
T1	8	-	-	Spec never constrains the id and a test that parsed its shape would have no sentence to point at, so tests almost surely only fetch the endpoint.
T49	8	-	-	"Writing the header for an empty result is what csv.writer does and what ""export columns follow source column order"" implies."
T69	8	-	-	"SCREAMING_SNAKE_CASE, the settings table default true, and ""fail startup"" all point at an environment variable with a true default."
T97	8	-	-	"Steps 1-4 end in ""Otherwise 403"" and both allowlist error rows are 403, leaving nothing else for an unparseable Referer."
T105	8	-	Empty DATAGATE_CONFIG is a read failure and the process exits	read failure at startup ... exits could cover an empty path, but a reference checking truthiness of the variable behaves as the tester chose.
T125	8	-	-	"upgrades stored state and ""persisted datasets must survive restart"" make persistence the only coherent reading."
T2	8	-	-	Reading (2) is strictly stronger than (1), so no test of id stability can contradict it; only a fixed id format could, and nothing in the text hints at one.
T14	8	-	-	Every listed reading leaves the same values as text, and no numeric-looking temporal form exists for a test to split them on.
T62	8	-	-	First worksheet plus the must-be-tabular rule points at index 0, and a test would need to deliberately craft active or hidden sheets to disagree.
T106	8	-	-	All other states keep enrichment off settles both the error question and case sensitivity.
T118	8	-	-	Applies only on /convert plus the ignore rule for plain params leaves inertness as the only reading without an invented error.
T67	8	-	Duplicate file parts are rejected as malformed multipart.	Two parts with the same name is an exotic fixture and every multipart parser hands back the first one.
T71	8	-	Cache and fresh responses must share headers too.	The spec's contract is the JSON envelope and status everywhere else, and byte-identical headers are unsatisfiable, so tests compare bodies.
T79	8	-	CACHE_ENABLED=false makes every upload replace stored data.	Every sentence of the cache section names /convert, and either reading yields the same upload id anyway.
T103	8	-	An unusable STORAGE_DIR falls back to the default directory.	Create STORAGE_DIR if missing plus invalid config exits leaves little room for silently serving from another directory.
T119	8	-	Enriched and plain ingestions of one source get different ids.	Upgrades stored state and the Determinism rule both require the same id, so a separate id would contradict two sentences.
T16	8	-	-	Checkpoint 1 lists no parameter and later checkpoints add `_size`, so a test demanding an override at this stage is unlikely.
T44	8	-	-	Every alternative yields the same status and envelope, so tests cannot distinguish them.
T120	8	-	-	`enrich=yes` is introduced as an unconditional /convert option, and any first-time enrichment test would confirm the tester's reading.
T41	6	-	-	Comparators are spelled lower-case, other name matching is stated case-sensitive, and an uppercase comparator is unlikely to be exercised at all.
T57	6	-	-	Names are quoted in code style and multipart field names are conventionally exact; a mixed-case test is unlikely.
T101	6	-	-	Tests must reach the server over plain HTTP to observe the absolute https endpoint, so refusing plaintext would defeat the tests themselves.
T82	6	-	-	Replaces has no merge reading a test author would adopt.
T114	6	-	-	Keyed by column name reads as a full mapping and a partial one has no textual support.
T95	6	-	Query or export responses larger than the limit are refused.	Enforced for /convert and /upload names the routes explicitly and the accepted-at-limit rule would be pointless otherwise.
T115	6	-	/convert with enrich=yes also returns the metadata.	Success response remains is restated verbatim right after the feature, which only makes sense if the convert reply does not grow.
T123	6	-	force with enrich=yes is rejected or enrich is dropped.	Force forces re-ingestion and re-ingestion recomputes metadata compose without exception, and nothing rejects parameter combinations on /convert.
T17	5	-	-	If /convert receives charset, use it is unconditional; no reading lets the origin header win.
T45	5	-	-	The route is the dataset route plus a suffix and the unknown-id 404 rule is the only rule on offer.
T77	5	-	-	replaces the cached dataset presupposes the same id and the determinism section says id is a function of source alone.
T117	5	-	-	"spreadsheet datasets is the class name and ""excel"" is what both containers share."
T46	5	-	-	"Headerless ""CSV"" is not a reading anyone writing an export test would take."
T78	5	-	-	No error condition exists in any table for this case and the download happens either way.
T94	5	-	-	The type column says bytes and no test author would count characters against it.
T33	4	-	-	"The error envelope is given verbatim as two keys, and ""Responses include total"" sits in the success description."
T81	4	-	-	No parameter anywhere is case-insensitive and a test spelling FORCE is improbable.
T85	4	-	-	No test is likely to place exotic whitespace around a boolean value; ASCII trim satisfies any plausible assertion.
