slug	risk	outcome	bet	probs	readings	why
config-read-failure	20	ok	R1	R1=80; R2=80; R+=45	R1=Unset means no file; a set path that cannot be read exits; empty string exits; R2=Same, but empty string treated as unset; R+=Missing file is tolerated, defaults apply	The spec pairs read failure with exit, so a test pointing DATAGATE_CONFIG at a missing path most naturally expects a non-zero exit; the empty-string subcase is unlikely to be tested.
charset-cannot-decode	20	untested	R1	R1=82; R2=65	R1=valid codec that cannot decode the bytes is 400; R2=decode leniently with replacement and answer 200	A reference that does bytes.decode(charset) in a try block yields 400 without extra effort, but the error row is worded about the parameter and the case may not be probed at all.
export-pagination-default	20	untested	R1	R1=80; R+=55	R1=export applies the default _size of 100 like /datasets; R+=export returns all rows by default	The same pagination is unqualified, but an author who thinks of export as a download may never write the over-100-rows fixture, and if they do a shared pipeline gives 100.
encoding-detection	20	ok	R1	R1=80; R+=70	R1=BOM or strict UTF-8 decode, else latin-1, no statistical detector; R+=Statistical detector such as chardet	UTF-8 and latin-1 fixtures decode the same under both; the residual risk is a cp1252 fixture whose 0x80-0x9F bytes a chardet-based reference decoded as smart quotes.
enrich-repeated	20	flip	R1	R1=80; R2=75; R+=65	R1=Repeated enrich=yes is not exact, enrichment off; R2=Every occurrence yes still enriches; R+=Repeat is 400	Repetition is probably not fixtured, and if it is, 'only exact' plus 'all other states' points to off rather than an error.
cache-enabled-strict-values	20	flip	R2	R1=70; R2=85	R1=exactly the eight spellings after case folding, no trim, empty string fails startup; R2=case-fold after trimming whitespace, empty value means unset/default	"Checkpoint 6 spells out ""case-insensitive, trimmed"" for every boolean, so a test with padded whitespace is plausible and only no-trim implementations lose it; empty values are unlikely to be probed."
empty-filter-value	18	ok	R1	R1=80; R+=45	R1=Empty string is an ordinary value: exact matches empty cells, contains matches all; R+=Empty filter value is HTTP 400	The filter error table is closed and omits empty values, so a test author asserting 400 would be inventing a rule; the case is more likely untested than tested.
delimiter-inference	18	flip	R3	R1=85; R2=58; R3=88	R1=consistency count over comma, semicolon, tab and pipe; R2=csv.Sniffer; R3=rectangularity scoring over exactly comma, semicolon, tab	Tests will feed comma, semicolon and tab files, likely with time-like colons and quoted delimiters; an unrestricted Sniffer is the reading that can pick a wrong character.
plain-reingestion-downgrade	18	ok	R1	R1=82; R+=70	R1=a re-ingestion without enrich stores the dataset non-enriched; R+=enrichment is a one-way latch	Requests without re-ingestion do not change stored state implies re-ingestions do, but the successful-downgrade path is the kind of case an author leaves untested.
spreadsheet-cell-values	18	ok	R1	R1=82; R+=70	R1=render every cell to text (integral numbers without .0, TRUE/FALSE, ISO dates) then run CSV inference; R+=map native cell types directly	Number and text cells agree either way; date and boolean cells, and .xls floats for whole numbers, are where an author's fixture could disagree with either reading.
method-not-allowed	15	ok	R1	R1=82; R+=75	R1=405 with the JSON envelope; R+=404 with the JSON envelope	A test most likely asserts only a JSON error for a wrong method, and if it pins a code 405 is what a router gives.
byte-order-mark	15	untested	R1	R1=85; R+=60	R1=Strip one leading U+FEFF after decoding, even with explicit charset=utf-8; R+=BOM kept as data when charset given explicitly	A BOM is the textbook unambiguous marker and any author with a BOM fixture expects columns[0]=='id'; explicit-charset-plus-BOM is rarely fixtured.
export-cell-rendering	15	ok	R1	R1=80; R2=80	R1=Render stored values, numbers by JSON spelling, strings verbatim; R2=Re-emit source cell text verbatim	Readings differ only on 007, 1.50 or padded cells, which plain fixtures lack, and 'semantically-correct' suggests the checker parses and compares by value.
missing-value-definition	15	ok	R1	R1=85; R2=85; R+=40	R1=Empty or whitespace-only cell is missing, padding included; R2=Only the empty string is missing; R+=NA-style sentinels also missing	Fixtures use blank cells where R1 and R2 agree; the tail risk is a pandas-based reference that swallowed 'NA' or 'null'.
exact-contains-vs-number	15	ok	R1	R1=88; R2=45; R3=85	R1=compare against the JSON text of the stored value; R2=numeric cells never match string comparators; R3=compare against the original source text	An exact filter on a numeric column is a likely test and R2 silently returns nothing there, while R1 and R3 only diverge on non-canonical numerals tests rarely use.
export-content-type	15	ok	R1	R1=85; R2=75	R1=exactly text/csv with no parameters, UTF-8 body; R2=text/csv; charset=utf-8	Most tests will check the media type with startswith or contains, but a literal equality against the quoted header is plausible and only the bare value survives it.
invalid-config-line	15	untested	R1	R1=85; R2=72	R1=a line that is neither KEY=VALUE, blank nor comment is invalid config and exits; R2=unparseable lines are skipped	Invalid config ... exits is most naturally tested with a bad value, but a garbage line is the next candidate and only fail-fast survives it.
size-upper-bound	15	ok	R1	R1=88; R2=72; R3=60	R1=any positive _size is honoured, 200 returns 200 rows; R2=100 is a hard ceiling; R3=_size above 100 is 400	"If it exceeds available rows, return all and ""default 100"" read as a knob, not a cap, and a large-dataset probe would most likely expect the requested count."
cache-enabled-unset	12	ok	R1	R1=82; R2=80	R1=Unset means default on; empty string is an invalid value and fails startup; R2=Unset and empty string both mean the default	Tests will cover unset (must start, caches) and garbage values (must fail); an empty string is rarely worth a test and the trimmed rule makes it as likely rejected as accepted.
duplicate-empty-headers	12	untested	R1	R1=85; R+=50	R1=Header cells returned verbatim in source order; R+=Deduplicate or synthesise names for repeated and empty headers	Nothing in the spec licenses renaming, so a test with an odd header would compare against the raw cells; most fixtures have clean headers anyway.
numeric-cell-whitespace	12	ok	R1	R1=85; R+=55	R1=Padded numerics become numbers; non-numeric text kept verbatim; R+=Padded cell stays a string	"Python's float and int accept surrounding whitespace, so a reference implementation converts "" 42 "" to 42 without trying, and tests derived from it agree."
column-named-rowid	12	ok	R1	R1=85; R+=72	R1=injected row number owns the rowid key, columns still verbatim; R+=source column keeps the key	"Almost certainly untested; if tested, the unconditional ""includes rowid (1-based row number)"" favours the injected value."
cors-headers	12	ok	R2	R1=85; R2=90; R3=70	R1=Access-Control-Allow-Origin * on every response including errors, OPTIONS answered; R2=same plus allow-methods, allow-headers, expose-headers and max-age on every response; R3=echo the request Origin	"Tests will look for Access-Control-Allow-Origin on a response, probably ""*"", and the extra headers cost nothing while echoing Origin can fail a test that sends none."
unknown-id-vs-invalid-control	12	ok	R1	R1=88; R2=70	R1=resolve the dataset first, unknown id is 404; R2=validate controls first, 400; R3=either	The 404 rule is unconditional and _sort validation needs the dataset, so a reference resolves first; the combination is unlikely to be tested.
export-toggles-validated	12	ok	R1	R1=85; R2=75	R1=Toggles still validated on export, bogus value is 400, valid value no-op; R2=Toggles ignored outright on export	The fixture is almost surely _shape=objects yielding identical CSV; a bogus-value-on-export assertion is rare and would favour 400 via shared parsing.
numeric-filter-value	12	ok	R1	R1=88; R2=75	R1=Numeric means float() accepts it, nan and inf allowed; R2=Strict decimal grammar, nan and inf are 400	The spec names float parse, so a reference uses float(); the fixture is abc giving 400, and a nan probe is unlikely but would side with R1.
cache-key-and-lifetime	12	ok	R2	R1=85; R2=88; R3=85	R1=store is the cache keyed by id from source URL, charset must match for a hit; R2=keyed on source URL alone, charset ignored on a hit; R3=keyed on URL alone but a differing charset re-decodes	Tests will most naturally count downloads for a repeated identical URL and assert no expiry within a run, which every reading satisfies; a charset-varying cache probe is unlikely.
domain-boundary-rules	12	ok	R1	R1=90; R+=35	R1=label-boundary suffix match, equal or ends with dot plus suffix, leading dot on entries stripped; R+=plain string endswith	domain-boundary rules exists to make notexample.com fail against example.com, which is exactly the negative case a test author would write.
file-size-measurement	12	ok	R1	R1=88; R2=40; R3=30	R1=bytes of the fetched body or the uploaded file part; R2=declared Content-Length or the whole request body; R3=size of the parsed dataset	file size = limit accepted invites a test with a file of exactly the limit, which measuring the multipart envelope would wrongly reject.
request-host-definition	12	ok	R1	R1=88; R2=55; R3=70; R+=15	R1=https plus the Host header verbatim, port included, same path; R2=Host with the port stripped; R3=server bind address; R+=plaintext requests rejected under REQUIRE_TLS	"Test clients address 127.0.0.1:port, so ""request host"" is that string verbatim and stripping the port breaks the expected URL, while refusing plaintext would break the harness itself."
unknown-query-params	12	ok	R1	R1=88; R2=40; R3=80	R1=unknown parameters ignored, repeated or not; R2=unknown parameters are 400; R3=unknown underscore names 400, others ignored	Checkpoint 3 says params without _ and without __ are ignored, and no error row covers unknown names; only an unknown _foo probe could split R1 from R3.
column-details-duplicate-names	10	untested	R1	R1=85; R2=82	R1=Single key describing the leftmost column of that name; R2=Single key describing the rightmost column	An enriched fixture with a repeated header is an unlikely test, and either collapse yields a well-formed object with the same key set.
convert-error-ordering	10	untested	R1	R1=88; R2=88	R1=Allowlist 403 first, then param checks, then fetch 404, then size 400, then parse; R2=Same ordering with upload's 415 and multipart 400 preceding the size check	Combined-fault requests are rarely tested beyond 403 before routing, and every reading puts the allowlist first and the size check after the bytes exist.
dataset-survives-restart	10	ok	R1	R1=90; R2=90; R+=60	R1=Id is a pure function of the URL; rows live in memory, 404 after restart; R2=Persist to disk so rows survive restart; R+=Counter-based id stable within one process only	At this checkpoint tests are unlikely to restart the server, and a hash-of-URL id satisfies any cross-process determinism check whether or not rows persist.
enrichment-survives-restart	10	untested	R1	R1=88; R+=55	R1=Enrichment flag and metadata persisted with the dataset, served after restart; R+=Metadata in memory only, dataset returns non-enriched after restart	Enrichment is called stored state and persisted datasets must survive, so any restart test on an enriched dataset expects the metadata back.
filter-duplicate-column	10	untested	R1	R1=85; R+=50	R1=Filter resolves to the first column with that name; R+=Ambiguous name is HTTP 400	The only column-resolution error listed is unknown column, and a repeated-header filter fixture is unlikely to be tested at all.
new-routes-methods	10	ok	R1	R1=85; R2=85	R1=Documented verb only; other methods get 405 in the JSON envelope; R2=Other methods get some JSON error, status unasserted	Wrong-method tests on the new routes are uncommon and a 405 JSON envelope satisfies any generic error assertion that might exist.
persisted-datasets-scope	10	ok	R1	R1=88; R2=85; R3=85	R1=Rows, columns, source, charset all persist and /convert after restart is a cache hit; R2=Datasets persist and stay queryable, cache is per process; R3=One JSON file per dataset, unreadable files skipped at startup	A restart test reuses the directory and expects GET /datasets/<id> to answer; whether the following /convert re-downloads is unlikely to be counted.
sort-duplicate-column	10	untested	R1	R1=85; R+=50	R1=Sort by the first column carrying that name; R+=Ambiguous name is HTTP 400	The name is known so the listed 400 does not apply, and a duplicate-header sort fixture is unlikely to appear in the suite.
underscore-column-filter	10	untested	R1	R1=85; R+=60	R1=Underscore-prefixed filter-shaped params are unknown controls and ignored; such columns unfilterable; R+=Treated as a filter on the underscore column	The control-param rule is by spelling, and a source column starting with underscore is an unlikely fixture.
empty-storage-dir	10	ok	R1	R1=85; R+=85	R1=empty STORAGE_DIR fails startup; R+=empty means unset, use the default	Nothing in the spec or a plausible fixture sets STORAGE_DIR to the empty string.
quoted-values-typing	10	untested	R1	R1=88; R+=60	"R1=RFC 4180 quoting honoured and quoting does not affect typing, ""1"" becomes 1; R+=a quoted number stays text"	Python's csv module drops the quotes before inference, which is what a reference would do.
repeat-convert-behavior	10	ok	R1	R1=88; R+=78	R1=re-fetch and replace on every convert until checkpoint 5, cached thereafter; R+=serve from cache from the first checkpoint	Early tests key on the endpoint being stable; only a refresh fixture would separate the readings, and checkpoint 5 settles it.
worksheet-used-range	10	ok	R1	R1=90; R+=75	R1=trim trailing empty rows and columns, then require header plus one row; R+=take the declared range verbatim	"Generated fixtures rarely carry phantom trailing cells, and trimming is what makes ""header + at least one data row"" a content test."
config-list-splitting	10	ok	R1	R1=90; R+=55	R1=Split on comma from file or env, trim items, drop empties; R+=Env value is opaque, no splitting	Fixtures will use a plain comma list from either source and R1 handles both; nobody writes a suffix with spaces.
empty-allowlist	10	ok	R1	R1=85; R+=25; R++=30	R1=Empty value is no allowlist, all pass; R+=Empty list active, 403 everything; R++=Empty value fails startup	An explicitly empty ORIGIN_ALLOWLIST is an unlikely fixture and pass-through is what a reference reading 'unset' as falsy does.
control-value-matching	10	ok	R1	R1=90; R+=80	R1=exact case-sensitive untrimmed match of hide, lists, objects; R+=case-insensitive or trimmed match	"Tests for ""any other value"" will use a clearly wrong word, and a reference doing an exact string compare is the default; a case-folded probe is improbable."
enrichment-failure-semantics	10	ok	R1	R1=88; R2=86	R1=no new status, ingestion failures keep their codes and prior enriched state is preserved; R2=a metadata computation failure is HTTP 500 in the envelope	A test author can hardly induce a genuine metadata-compute failure, so the only likely probe is a failed forced re-ingest leaving the prior enriched dataset intact, which both readings pass.
force-value-cache-disabled	10	ok	R1	R1=90; R2=75	R1=force with a value is 400 regardless of cache setting; R2=force is ignored entirely when caching is disabled	Any force value is HTTP 400 is unconditional and validation-before-effect is the natural implementation; the combined case is a second-tier test at most.
rowid-numbering	10	ok	R1	R1=90; R+=20	R1=header is 1, first data row is 2, counted over parsed records; R+=first data row is 1; R+=physical file lines	1-based ... starting at the header is explicit, and blank-line fixtures that would separate record from line counting are unlikely.
enrich-exact-yes	8	ok	R1	R1=90; R+=20	R1=Only byte-exact enrich=yes enables; every other state including repeats is silently off; R+=Wrong value or repeated enrich is HTTP 400	"The sentence ""All other states keep enrichment off"" is unconditional, so tests for enrich=YES or enrich=no will expect 200 without metadata."
fail-startup-manifestation	8	ok	R1	R1=90	R1=Process exits non-zero with a stderr message and never binds the port	A harness can only observe the exit status and the closed port, and no reading here exits zero or keeps serving.
invalid-url-definition	8	ok	R1	R1=90; R+=40	R1=Only http or https with a non-empty host, no whitespace or control chars, is valid; else 400; R+=Anything urlparse accepts is valid	"A test author writing ""Invalid URL 400"" will send not-a-url or a scheme-less string, both 400 under R1, and the 404 row presupposes an HTTP fetch."
boolean-value-trimming	8	ok	R1	R1=92; R+=65	R1=strip surrounding whitespace, lowercase, must be one of the eight spellings; R+=no trimming, whitespace makes the value invalid	"The checkpoint-6 wording says ""trimmed"" outright, and a test author who wrote that word would assert "" TRUE "" is accepted if they probe whitespace at all."
cache-hit-optional	8	ok	R1	R1=92; R+=35	R1=with caching on, a repeat convert is served from the store with no download; R+=may re-download at will	The section defines CACHE_ENABLED and force as the only ways to trigger a download, so the natural test counts origin hits and expects one.
config-repeated-key	8	untested	R1	R1=92; R+=55	R1=last occurrence wins; R+=duplicate key fails startup	Last-wins is what every KEY=VALUE format does and a duplicate-key fixture is an unlikely test.
enrich-outside-convert	8	ok	R1	R1=90; R+=40	R1=enrich is ignored on upload, datasets and export; R+=enrich elsewhere is 400	Applies only on /convert reads as scope, and unknown parameters are ignored everywhere else in the spec.
env-variable-names	8	ok	R1	R1=92; R+=15	R1=bare setting names in the environment, env over file over defaults; R+=DATAGATE_-prefixed names	Checkpoint 5 already names the bare CACHE_ENABLED variable, so tests set the unprefixed names.
failed-reingestion-cache-disabled	8	ok	R1	R1=90; R+=45	R1=a failed re-ingestion leaves the prior dataset queryable in every case; R+=with caching disabled a failure clears the stored dataset	The failure guarantee is written for force, and a reference that replaces only on success behaves the same with caching off.
filter-key-split	8	ok	R1	R1=90; R+=80	R1=split on the last __ (rpartition); R+=split on the first __	Fixtures almost certainly use plain column names, and a bogus comparator is 400 under both splits.
formula-cells	8	untested	R1	R1=90; R+=80	R1=use cached values, uncached formula becomes empty, never evaluate; R+=export the formula text	The spec says the behaviour is not required, so at most a well-formed response is asserted.
non-multipart-definition	8	ok	R1	R1=88; R2=88	R1=only multipart/form-data counts, everything else 415; R2=any multipart/* counts, multipart/mixed is malformed 400	Tests will send JSON or plain text for 415 and a broken form body for 400; multipart/mixed is an unlikely fixture.
storage-dir-default	8	ok	R1	R1=88; R2=88	R1=a stable implementation-defined directory with datasets persisted as files; R2=a fresh temporary directory per process	Persistence tests will set STORAGE_DIR explicitly, so the default is barely observable.
upload-field-choice	8	untested	R1	R1=90; R+=70	R1=file wins when both are present, both is not an error; R+=both present is 400	"The only documented 400 is ""missing both"", and a fixture with both parts is unlikely."
csv-filetype-label	8	untested	R1	R1=90; R+=15	R1=filetype is the literal csv; R+=media type text/csv	The excel literal fixes the vocabulary as bare format words, so a test on the CSV side almost surely asserts 'csv'.
max-source-size-spelling	8	ok	R1	R1=90; R+=80	R1=Trimmed decimal digits with optional plus, negatives floats suffixes invalid at startup; R+=Anything int() accepts	Fixtures set a plain integer and check equal-to and over-limit bodies; a weird spelling test is unlikely and R1 rejects the obvious garbage.
non-numeric-stored-values	8	ok	R1	R1=90; R2=85	R1=float() on the stored value's text decides, failure skips the row; R2=Any stored non-JSON-number is skipped	The two differ only on text that float-parses but was stored as text, which no ordinary fixture contains.
repeated-control-param	8	ok	R1	R1=90; R2=85; R+=60	R1=Identical repeats of a control are still 400, other names may repeat; R2=Repeated source uses the first value; R+=Repeated source is 400	The fixture is a repeated _size, which is 400 under every reading; repeated source is rarely tested.
rowid-hide-under-lists	8	ok	R1	R1=90; R+=40	R1=Valid no-op under lists; R+=400 under lists	The only listed toggle error is a non-hide value, and a reference that checks the value then drops the key never errors under lists.
size-offset-spelling	8	ok	R1	R1=90; R2=90; R+=85	R1=ASCII digits with optional sign then range check; R2=ASCII digits only; R+=Anything int() accepts	Fixtures are 0, -1, abc and 1.5, all rejected under every reading; +5 or padded spellings are not fixtured.
unknown-id-vs-invalid-filter	8	untested	R1	R1=90; R+=70	R1=Resolve the dataset first, 404; R+=Validate filters first, 400	Unknown column cannot be judged without the dataset's header, so a reference resolves the id first, and the combination is seldom fixtured.
comparator-name-matching	8	ok	R1	R1=92; R+=80	R1=exact, case-sensitive match of the four lowercase names; R+=case-insensitive match	The invalid-comparator test will almost surely use a made-up name rather than uppercase, and a reference implementation most naturally does a case-sensitive set lookup.
dataset-id-derivation	8	ok	R1	R1=92; R+=85	R1=hash of the exact source string, no normalisation; R+=counter with a persisted URL-to-id table	Tests only observe that identical URLs share an endpoint, different URLs differ, and datasets survive restart, all of which a deterministic hash satisfies.
enrich-changes-id	8	ok	R1	R1=92; R+=55	R1=enrich never changes the id or the endpoint, upgrades the stored dataset in place; R+=enriched ingestion yields a distinct id	upgrades stored state and the unconditional same-URL-same-id rule make a shared endpoint the assertion a test author would naturally make.
first-worksheet	8	ok	R1	R1=92; R2=80	R1=first sheet in stored workbook order; R2=the active sheet at save time	"Test workbooks built with openpyxl have sheet 0 active by default, so both readings usually coincide and workbook order is what ""first"" means."
objects-duplicate-columns	8	untested	R1	R1=90; R+=80	R1=rowid always carries the row number, duplicate names collapse last-wins, columns untouched; R+=rename the synthetic key on collision	"Neither collision is a likely fixture, and the unconditional ""includes rowid"" makes the row number the safe value if one is."
stable-descending-sort	8	ok	R1	R1=92; R+=70	R1=sorted with reverse=True, ties keep source order; R+=exact reverse of the ascending result	Stable is a term of art for ties keeping input order, and the reference almost certainly calls sorted with reverse.
upload-part-filename	8	untested	R1	R1=92; R2=82	R1=any multipart field named file or attachment carries the payload, filename optional; R2=only a part with a filename counts	"Test clients send files with a filename, so both readings pass the likely fixtures; the spec says ""field"" and never mentions a filename."
duplicate-filter-key	7	ok	R1	R1=93; R+=35	R1=the full column__comparator name repeated is 400, different comparators on one column are ANDed; R+=any column named twice is 400	"A range query on one column is the obvious use of ""Multiple filters are ANDed"", so tests will expect it to work and expect a literal repeat to be 400."
config-precedence-direction	7	ok	R1	R1=93; R+=5	R1=environment overrides file overrides defaults, resolved per key; R+=defaults outrank both sources	Any other direction makes the whole configuration section inert, and a per-key env-over-file test is the obvious one to write.
empty-file-part	7	ok	R1	R1=93; R+=5	R1=zero-byte file part is HTTP 400 in the JSON envelope; R+=empty upload succeeds as an empty dataset	Both the missing-field and the header-plus-data-row rules land on 400, and tests rarely pin the message.
export-unknown-dataset	7	ok	R1	R1=93; R+=15	R1=404 in the standard JSON envelope, query validated after id resolution; R+=CSV or empty error body	all errors use the standard JSON envelope plus the existing unknown-id rule leave 404 JSON as the only defensible answer.
metadata-dataset-or-query	7	ok	R1	R1=93; R2=70	R1=row_count and column_count describe the whole stored dataset, fixed at ingestion; R2=they describe the current filtered page	Re-ingestion recomputes metadata from current source bytes fixes the computation at ingestion, and a test paging an enriched dataset would expect the counts to hold.
config-comment-marker	6	ok	R1	R1=92; R2=90	R1=Comment is a whole line whose first non-blank char is hash; R2=Hash or semicolon may start a comment line	Any config fixture with comments will use leading hash lines, which both readings ignore, and a semicolon data line is not something a test would write.
format-recognition	6	ok	R1	R1=90; R+=55	R1=Sniff bytes: OLE2 is xls, ZIP workbook is xlsx, else CSV; name and type are hints at most; R+=Decide from URL extension or upload filename	Content sniffing accepts every fixture an extension-based test would serve, and also the extensionless URLs a test server may use.
remote-http-error-scope	6	ok	R1	R1=90	R1=Redirects followed; final status 400 or above and any transport failure map to 404; 2xx with bad body is the 400 path	A mock origin returning 404 or 500 is the natural test and both are 404 here; a redirect fixture is improbable.
require-tls-inbound	6	ok	R1	R1=92	R1=Setting only shapes the returned endpoint URLs; plaintext requests still served	The test harness has no TLS listener, so the only checkable behaviour is the https absolute endpoint returned over plain HTTP.
storage-dir-creation-failure	6	untested	R1	R1=90	R1=Create recursively; a path that cannot become a directory fails startup	Tests will give a fresh temp path and expect it created; a path that exists as a file, if tested, pairs with the startup-failure row.
export-bytes-format	6	ok	R1	R1=93; R+=50	R1=UTF-8, comma delimiter, RFC 4180 quoting, any line terminator; R+=echo the source delimiter	text/csv with no delimiter parameter is comma-separated, and a test helper will read the export with a default csv reader.
upload-id-derivation	6	ok	R1	R1=92; R+=70	R1=Hash of the file bytes only, filename field and charset excluded; R+=Filename or charset mixed into the hash	The sentence names bytes alone, and the likely fixture is the same bytes under a second filename yielding the same id.
referer-without-hostname	6	ok	R1	R1=93; R+=25	R1=any Referer that yields no hostname is 403, empty treated as missing; R+=unparseable Referer is 400	"The procedure ends in ""Otherwise return HTTP 403"" and the error table has no 400 row for this check."
metadata-response-placement	5	ok	R1	R1=92	R1=Top-level fields of the /datasets/<id> JSON only; /convert body and export unchanged	"The section is headed ""Enriched query output"" and pins the /convert body as unchanged, so tests look for the fields in the query response alone."
row-limit-override	5	ok	R1	R1=92; R2=90	R1=fixed 100 with no override parameter, unknown params ignored; R2=a limit parameter clamped to 100	"Both keep ""at most 100"" true, and _size arrives in checkpoint 2 to replace either."
size-limit-on-cache-hit	5	ok	R1	R1=92; R+=88	R1=a cache hit is not size-checked; R+=re-check the recorded size on a hit	The limit is a startup setting, so within one process a cached dataset was already checked at ingestion.
cache-identical-scope	5	ok	R1	R1=95; R+=70	R1=Whole response identical: status, body, headers, no cache marker; R+=Body identical but a cache header added	Tests can only compare status and body of two /convert calls, which every reading satisfies; R1 is the safe superset.
every-request-scope	5	ok	R1	R1=92; R+=80	R1=Literally every request before routing, unknown paths and OPTIONS included; R+=Only data routes or preflight exempt	Allowlist fixtures hit /convert or /datasets with and without Referer, where all readings agree.
failed-reingestion-keeps-data	5	ok	R1	R1=93; R+=55	R1=A failed ingestion in any mode returns the error and leaves stored data intact; R+=With cache disabled a failure empties the id	The spelled-out forced case is what gets fixtured and R1 satisfies it and its disabled-cache twin.
filter-param-classification	5	ok	R1	R1=92	R1=Leading underscore never a filter, contains double underscore is a validated filter, else ignored	All runs converge and the fixtures (foo=bar ignored, bad__exact 400) are exactly what R1 produces.
force-scope-routes	5	ok	R1	R1=92; R+=70	R1=force parsed and validated only on /convert, ignored elsewhere; R+=force validated on every route	The section is about the /convert cache, so force=1 is tested there and nowhere else.
