slug	agree	stdlib	tests	effect	note
column-details-duplicate-names	no	dict and csv.DictReader keep the last duplicate	no duplicate-header fixture; no signal	none	ABCFGHJK describes the rightmost column, ABCHJK/min4/v8/v8A the leftmost, v8B leaves it open; nothing tests it.
dataset-id-derivation	partly	none (hashlib is a tool, not a rule; no stdlib notion of URL identity)	same URL same id, different URLs differ, charset does not change id, force keeps id (cp1 test_same_url_same_id, test_different_urls_different_ids, test_id_from_url_not_charset; cp5 test_dataset_id_url_deterministic); id length unchecked	none	ABCFGHJK's misses on test_different_urls_different_ids and test_id_from_url_not_charset come from the single-column fixtures (name/a), not the id rule.
filter-duplicate-column	yes	list.index returns the first occurrence	no duplicate-header fixture; no signal	none	
config-line-grammar	yes	configparser strips key and value, splits at the first =, treats # after leading whitespace as a comment, keeps inline # as value	a comment line with leading spaces is ignored; blank lines ignored (cp6 test_config_whitespace_comments, test_config_ignores_comments); KEY = VALUE spacing and = in values never written	neutral	
duplicate-empty-headers	yes	csv.reader keeps duplicate and empty header cells verbatim; csv.DictReader collapses duplicates	no duplicate or empty header fixture; no signal	none	
cache-key-charset	no	none	dataset id is charset-independent (cp1 test_id_from_url_not_charset); no test repeats /convert with a different charset expecting a re-parse	none	ABCFGHJK/ABCHJK/v8A key the cache on URL+charset, min4 on URL alone; both pass.
empty-filter-value	yes	'' == '' is True and '' in s is True for every s; float('') raises	contains '' matches all rows, exact '' matches empty cells (cp3 test_contains_empty_value_matches_all, test_exact_empty_value_matches_empty_cells)	neutral	
cache-enabled-strict-values	yes	configparser.getboolean strips and case-folds (' TRUE ' is True); '' and whitespace-only raise ValueError	cp5 test_whitespace_fails_startup: '   ' must fail startup; cp6 test_trimmed_cache_enabled_true/false_values: ' TRUE ', ' No ' etc. must work	fix	v8B's cp5-Regression miss on test_whitespace_fails_startup (accepted whitespace-only after adding trimming) and min3's cp6 trimmed misses both match getboolean's behaviour; the batch entries all chose no-trim at cp5, which cp6 then overrides.
storage-dir-creation-failure	yes	os.makedirs raises FileExistsError when a file is in the way and PermissionError when it cannot create	only creation success is tested (cp6 test_storage_dir_created, test_storage_dir_via_config_file); no signal	none	
convert-error-ordering	partly	none	every error condition is tested in isolation; no signal	none	
sort-duplicate-column	yes	list.index returns the first occurrence	no duplicate-header fixture; no signal	none	
empty-allowlist	yes	none (''.split(',') gives [''], with no stdlib notion of configured-vs-absent)	ORIGIN_ALLOWLIST='' must not 403 (cp6 test_empty_allowlist_disables)	none	
underscore-column-filter	yes	none	no _x__exact request; only a bare category=tools param is tested as ignored (cp3 test_plain_param_ignored); no signal	none	
config-repeated-key	yes	configparser default strict=True raises DuplicateOptionError; strict=False keeps the last	no repeated-key config fixture; no signal	none	All runs chose last-wins, which is configparser's non-default mode.
enrich-changes-id	yes	none	enrich=yes returns the same endpoint as the plain convert (cp7 test_cache_upgrade_to_enriched)	none	
quoted-values-typing	yes	"csv.reader drops quotes, so ""42"" and 42 are the same field"	no quoted-number fixture; no signal	none	
numeric-cell-whitespace	yes	int(' 42 ') and float(' 42 ') strip and parse; csv.reader keeps the padding	no padded-numeric fixture; ' 08:30 ' (time-like) and '  space' are kept verbatim as text (cp1 test_preserves_header_and_time_whitespace, test_preserves_whitespace)	none	
control-value-matching	yes	str equality and argparse choices are exact and case-sensitive	show, false, 0 and '' are 400 for _rowid/_total (cp2 test_visibility_invalid_value_400, test_empty_toggle_value_400); no case or padding variant sent	none	
empty-file-part	yes	none	zero-byte upload is 400 (cp4 test_upload_empty_file_400)	none	
excel-label-scope	yes	none (mimetypes distinguishes xls and xlsx media types but names no label)	both .xls and .xlsx report filetype excel (cp7 test_xls_enrich_summary, test_spreadsheet_enrich_no_column_details)	none	
size-upper-bound	yes	none	_size=999999 on a 5-row dataset returns 5 rows and 200 (cp2 test_large_size_returns_all_rows); no test asks for more than 100 rows	none	
invalid-config-line	yes	configparser raises ParsingError on a line with no = (or :)	no malformed-line config fixture; missing file and directory path fail startup (cp6 test_missing_config_fails, test_config_dir_path_fails); no signal	none	
non-tabular-definition	partly	csv.reader/DictReader parse a single-column file fine; only Sniffer raises on it	cp1 test_single_column_csv: name/a is 200; JSON, empty and header-only bodies are 400; ABCFGHJK failed it and ten other single-column tests	fix	ABCFGHJK would have gone 405/405 by reading the file with csv.reader instead of demanding a delimiter; a JSON body is header-only under csv.reader so its 400 still falls out.
encoding-detection	yes	no detector; strict bytes.decode('utf-8') raises on latin-1 cafe so utf-8-then-latin-1 yields it	cp1 test_autodetect_latin1: latin-1 cafe with no charset must come back intact	neutral	ABCFGHJK's misses on the latin1 tests come from the single-column body, not the decoder.
mixed-type-sort-order	yes	sorted() raises TypeError on int versus str (verified)	no signal; cp2 sorts only same-type columns	none	Every run rejected the stdlib reading (raise); a mixed-column test would turn the rule into a 500.
rowid-hide-under-lists	yes	none	cp2 test_rowid_hide_noop_lists: _rowid=hide with _shape=lists is a 200 no-op	none	
exact-contains-vs-number	partly	str(100)=='100'; no opinion on source text versus rendering	cp3 test_string_cmp_numeric_cells: code__exact=100 and code__contains=10 match numeric cells; both readings pass	none	ABCHJK and v8B compare source text, the rest str(value); no test uses a non-canonical literal like 007 so the split is invisible.
export-toggles-validated	partly	none	cp4 test_export_shape_controls: valid toggles leave the CSV unchanged; invalid values never sent to /export	none	
format-recognition	yes	split: mimetypes.guess_type goes by extension, zipfile.is_zipfile by content	cp4: a NUL blob named .bin is 400 and the xls/xlsx samples ingest; both readings pass	none	
force-empty-value	no	urllib.parse.parse_qs cannot tell ?force from ?force= (both give ['']), so force= is presence	no signal; cp5 rejects true/1/yes/on, bare force refreshes, force= appears only paired with force=true	none	Runs split 4-2 (ABCFGHJK, min4, v8, v8A say 400; ABCHJK, v8B say presence) and no test settles it.
every-request-scope	yes	none	cp6: a bad Referer on /datasets/unknown is 403 not 404 and /convert is blocked before any fetch	none	
column-type-labels	yes	none (isinstance(4.0, int) is False; json keeps 4.0 a float)	cp7: label must be in text/number/integer/float; mixed 1,2.5,3,4.0 may take any numeric label	none	ABCFGHJK's miss on test_mixed_numeric_column_type is the single-column body again.
metadata-dataset-or-query	yes	none	cp7 asserts row_count==3 only on unpaged unfiltered queries; a filtered-to-empty query still carries metadata	none	
delimiter-inference	partly	csv.Sniffer picks comma, semicolon and tab correctly on every cp1 input but raises on single-column name/a	cp1 delimiter tests pass with Sniffer; test_single_column_csv needs a delimiter-less file to ingest	break	Sniffer used as-is reproduces ABCFGHJK's eleven misses; it only works behind a single-column fallback.
export-pagination-default	yes	none	no signal; no export test exceeds 100 rows	none	
file-size-measurement	yes	none	cp6 test_upload_size_limit_boundaries: an upload whose file part is exactly MAX_SOURCE_SIZE bytes is accepted, so the file not the envelope is measured	none	
force-repeated	no	parse_qs keeps every repeat in a list; no first-wins or error rule	cp5 test_duplicate_force_returns_400: force=&force=true is 400; a bare force&force is never tested	none	ABCFGHJK accepts bare repeats yet passes, since the tested pair carries a value.
time-like-scope	yes	float()/int() reject colon strings, so 0:00, 08:30, 23:59 stay text with no special rule	cp1: 0:00, 9:15, 12:30, 23:59 and ' 08:30 ' remain strings	neutral	
export-content-type	partly	none	cp4 _assert_export_headers: 'text/csv' substring of the lowercased header; a charset parameter is tolerated	none	
cache-hit-optional	yes	none	cp5 test_cache_reuses_without_refetch: the second /convert must not hit the origin	none	
distinct-count-semantics	partly	set() merges 1 and 1.0 (len({1,1.0})==1), the reading only v8 chose	cp7: 3/2/2 and 1,2.5,3,4.0 gives 4; no asserted column mixes 1 with 1.0 or has missing cells	none	
config-precedence-direction	yes	none	cp6 test_env_overrides_config: env REQUIRE_TLS=true beats the file's false, per key	none	
env-variable-names	yes	none	cp6 uses bare REQUIRE_TLS, CACHE_ENABLED, MAX_SOURCE_SIZE, STORAGE_DIR, ORIGIN_ALLOWLIST	none	
header-cells-typed	yes	csv.reader/DictReader return header cells as str	no signal; no test has a numeric-looking header	none	
export-bytes-format	yes	csv.writer excel dialect: comma, CRLF, QUOTE_MINIMAL	cp4 decodes exports as UTF-8 and parses with csv.reader defaults; commas and newlines in values must round-trip	neutral	
config-unknown-key	no	configparser keeps unknown keys without error (verified)	no signal; no test writes an unknown key	none	ABCFGHJK fails startup on an unknown key, ABCHJK and v8B ignore it; untested.
metadata-response-placement	yes	none	cp7 test_convert_response_no_metadata: /convert body is exactly ok+endpoint; metadata sits top-level in /datasets/<id>	none	
dataset-survives-restart	partly	none	cp6 test_storage_dir_persists_restart: a dataset is readable after restart with the same STORAGE_DIR	none	ABCFGHJK T16 still says no files are written, yet it passed cp6, so that registry entry is stale.
unknown-id-vs-invalid-filter	partly	none	no signal; cp3 never pairs an unknown id with a bad filter	none	
repeated-control-param	no	parse_qs returns every repeat as a list; no first-wins or error rule	cp2: any repeated control name, identical values included, is 400; cp7: enrich=yes&enrich=no must be 200 with no metadata	none	ABCFGHJK's first-wins reading and v8B both failed the yes-then-no enrich test; the stdlib would not have rescued them.
formula-cells	yes	none	no signal; no test contains a formula cell	none	
which-hundred-rows	yes	slicing and itertools.islice take the first N	cp1 test_large_dataset_limit_order: rows user0..user99 in source order	neutral	
unknown-query-params	yes	none	cp3 test_plain_param_ignored: category=tools is ignored	none	argparse would reject an unknown name, but it is not the query-string analogue.
unrecognized-format-definition	partly	none	cp4: NUL blobs are 400 on both routes; the message is not checked	none	
ragged-rows	partly	csv.reader keeps ragged rows as-is; csv.DictReader pads short rows with None and puts extras under restkey (verified)	no ragged-width test; test_trailing_empty_line_excluded only pins that a blank line is not a data row	none	ABCHJK-rerun failed test_trailing_empty_line_excluded by padding the trailing [] row into a data row; csv.DictReader skips [] rows, so the rule would fix that subcase if it is counted here rather than under the blank-line slug.
method-not-allowed	partly	http.server.BaseHTTPRequestHandler answers an unhandled method with 501 Not Implemented (verified)	no test sends a non-GET to /convert or /datasets; only /upload receives POST	none	The stdlib answer (501) is one no run chose; v8 and v8B deliberately left the status unpinned.
losing-sort-validated	yes	none	test_unknown_sort_column_400 sends _sort=nope alone; test_empty_sort_both_params_400 (_sort=age&_sort_desc=) faults the winner, so no test reaches a losing bad _sort	none	
unknown-id-vs-invalid-control	partly	none	test_unknown_dataset_404 and test_export_unknown_dataset_404 send no controls; no test combines an unknown id with a bad control	none	
query-timeout-meaning	partly	none	no test mentions a query timeout	none	
export-unknown-dataset	yes	none	test_export_unknown_dataset_404: 404 in the JSON error envelope	none	
charset-on-spreadsheet	yes	none (codecs.lookup would reject the name, but nothing in stdlib reads xlsx)	test_convert_spreadsheet_invalid_charset_ignored and test_upload_spreadsheet_invalid_charset_ignored: a bad charset on xlsx/xls still succeeds	none	ABCFGHJK and min2 failed cp4 charset tests, but those use a single-column CSV (name/café), so they belong to the single-column choice.
config-read-failure	yes	configparser.ConfigParser.read() silently returns [] for a missing path (verified)	test_missing_config_fails and test_config_dir_path_fails: a named but unreadable DATAGATE_CONFIG must fail startup	break	Every run chose fail-startup and passed; configparser.read is the idiomatic stdlib call and it shrugs at a missing file (read_file would raise).
request-host-definition	yes	wsgiref.util.application_uri uses HTTP_HOST verbatim, port included, else SERVER_NAME:SERVER_PORT (verified)	test_tls_convert_endpoint_https: Host api.example.com gives https://api.example.com/datasets/; the :443 variant is only checked for the https:// prefix	neutral	The :443 variant is only prefix-checked, so verbatim-with-port and port-stripping both pass.
missing-value-definition	partly	"none; csv yields """" for an empty cell and has no null concept"	every missing_count assertion is == 0 on full columns; no test has an empty or whitespace-only cell	none	
plain-reingestion-downgrade	yes	none	test_force_removes_metadata and test_enrich_cache_disabled: a plain re-ingestion drops stored enrichment	none	
row-limit-override	partly	none	test_large_size_returns_all_rows: _size=999999 returns all rows; no legacy limit parameter is tested	none	Resolved by the later _size spec; the cp1-era split (add a limit param vs refuse) is untested either way.
cache-key-and-lifetime	partly	none	test_id_from_url_not_charset pins the id to the URL only; no test varies charset across a cache hit or waits out a TTL	none	
referer-without-hostname	yes	"urllib.parse.urlparse(v).hostname is None for ""not-a-valid-url"", """", ""/x"" and ""http://"" (verified)"	test_invalid_referer_forbidden (Referer: not-a-valid-url) and test_allowlist_empty_referer_header both expect 403	neutral	
force-scope-routes	yes	none	no test sends force to /upload, /datasets/<id> or /export	none	
query-ms-semantics	yes	timeit.default_timer is time.perf_counter (verified); a float, unrounded	test_query_envelope: query_ms is int or float and >= 0	neutral	
non-multipart-definition	yes	email.message flags a multipart Content-Type lacking boundary as NoBoundaryInMultipartDefect (verified); cgi is gone in 3.14	test_upload_json_rejected: JSON body is 415; test_upload_invalid_body_400: multipart/form-data with no boundary is 400	neutral	multipart/mixed, the case the runs actually debated, is untested.
cache-identical-scope	yes	none	test_response_shape_consistent and test_forced_response_keys_match_fresh: key set is exactly {ok, endpoint} and endpoints equal; headers unchecked	none	
duplicate-filter-key	yes	urllib.parse.parse_qs keys on the full parameter name and collects repeats, identical values included (verified)	test_duplicate_key_400 and test_duplicate_identical_key_400 give 400; test_same_col_filters_and ANDs two comparators on one column	neutral	parse_qs agrees on what a key is (the whole name); it does not itself reject repeats, the spec does.
require-tls-inbound	yes	none	test_tls_convert_endpoint_https and test_tls_upload_endpoint_https make plain-HTTP requests with REQUIRE_TLS=true and expect 200	none	
size-limit-on-cache-hit	yes	none	size-limit tests cover first ingestion and upload only; no cache hit after a lowered MAX_SOURCE_SIZE	none	
total-semantics	yes	none	test_total_before_pagination, test_total_ignores_offset_size, test_total_post_filter: total is the filtered count before _size/_offset	none	
new-routes-methods	partly	http.server answers an unhandled method with 501 (verified)	no test sends GET to /upload or a non-GET to /export	none	
config-list-splitting	yes	"none; configparser has no list type, and str.split("","") neither strips nor drops empties"	"test_config_allowlist_comma_split uses ""example.com,data.gov"" with no spaces or empty items"	none	
enrich-outside-convert	yes	none	test_upload_enrich_no_metadata and test_plain_ingest_ignores_enrich: enrich=yes off /convert is ignored, never an error	none	
boolean-value-trimming	yes	configparser.getboolean strips and case-folds (given)	"test_trimmed_cache_enabled_true_values and _false_values: "" TRUE "", "" OfF "" etc. are accepted"	neutral	"spectest-min3 failed exactly these tests, but the spec says ""trimmed"" outright, so that is a spec-reading miss rather than a silence the rule would fill."
remote-http-error-scope	yes	urllib.request's default opener follows redirects (HTTPRedirectHandler) and raises HTTPError for 4xx/5xx (verified)	test_upstream_500_to_404 and test_upstream_403_to_404 give 404; no redirect test	neutral	
query-error-ordering	yes	none	multi-fault requests are only ever checked for status 400; no test inspects the error message text	none	
empty-storage-dir	yes	"os.makedirs("""") raises FileNotFoundError (verified), though pathlib.Path("""") is ""."""	STORAGE_DIR is tested set and unset, never empty	none	
charset-empty	yes	"codecs.lookup("""") raises LookupError (verified): an empty name is not a codec"	no test sends an empty charset; only a bad name (400) and valid names	none	The stdlib reading (reject) is the opposite of what both runs chose (treat as omitted); untested either way.
column-named-rowid	yes	none	test_columns_exclude_rowid only checks the injected key; no test has a source column named rowid	none	
numeric-detection-grammar	partly	split: int()/float() accept 007,+5,1e5,.5,1_000,nan; json.loads rejects 007,+5,.5 but takes 1e5	-3,-4.5,9.99,4.0 must be numbers (cp1 negative/decimals, cp7 mixed_numeric); 007/+5/1e5 cells untested	none	Runs split three ways on 007/+5/1e5 and the stdlib splits too; float() would also number nan, inf and 1_000, which no run wanted.
cors-headers	yes	none	Access-Control-Allow-Origin present on /convert, /not-found, dataset GET and OPTIONS preflight (<500); no header values checked	none	
rowid-numbering	yes	csv.reader.line_num: header 1, first data row 2, counting physical lines	cp2 rowid [2,3,4,5,6], travels with row under sort; no blank-line case	neutral	line_num counts physical lines so blank lines and multi-line quoted fields consume numbers, unlike the runs' parsed-record count; untested.
filter-key-split	yes	none (str.rpartition and str.split both exist)	no header with __ in any test	none	
export-header-row	yes	none (csv.writer has no header notion; DictWriter.writeheader is explicit)	header row always present, even for zero-row exports (cp4 test_export_empty_result_header)	none	
upload-id-derivation	yes	none	same bytes give same endpoint across filenames and field names (cp4); charset untested	none	
spreadsheet-cell-values	yes	none (no xlsx reader in stdlib)	numeric cells 7 and 11.5 come back as JSON numbers, text as-is (cp4 test_numeric_cells_preserved)	none	
max-source-size-spelling	yes	int(): rejects invalid/nan, accepts 0, -1, +5, 1_000, ' 5 '	'invalid' and 'nan' fail startup, '0' accepted and rejects any body (cp6); negatives untested	neutral	int() would accept -1 and 1_000, which every run rejects; the tests never ask.
enrich-exact-yes	yes	none (parse_qs keeps case and padding but does no matching)	true/1/on/empty/no/YES and padded 'yes ' leave enrichment off with 200 (cp7)	none	
spreadsheet-summary-counts	yes	none	only filetype=='excel' and absence of column_details asserted (cp7)	none	
repeat-convert-behavior	partly	none	cp5: repeat /convert served from cache without refetch; pre-cp5 refetch never tested	none	All runs converge on cache-hit once the cp5 spec lands; the earlier re-fetch reading is never tested.
blank-lines-as-rows	no	csv.DictReader skips blank rows, trailing or interior; csv.reader yields [] for them	trailing blank line is not a data row (cp1 test_trailing_empty_line_excluded); interior blank untested	fix	ABCHJK-rerun kept the trailing blank as a row and failed test_trailing_empty_line_excluded; DictReader's skip would have passed it.
force-value-cache-disabled	yes	none	only duplicate force under disabled cache is 400 (cp5); single force=value with cache off untested	none	
enrichment-failure-semantics	partly	none	forced enrich re-ingest of bad content is 400 and prior metadata survives; ingest errors keep 400/404 (cp7)	none	ABCHJK's 500 for a metadata-compute failure is never exercised.
persisted-datasets-scope	yes	none	converted dataset readable after restart with same dir while source is gone (cp6); uploads and cache untested	none	
filter-param-classification	yes	none	category=tools is ignored, not an error (cp3 test_plain_param_ignored)	none	
worksheet-used-range	partly	none	empty sheetData and header-only first sheet are 400 (cp4); trailing or interior blank rows untested	none	
failed-reingestion-keeps-data	yes	none	forced failure (404/400) leaves prior rows readable (cp5); disabled-cache failure checks status only	none	
first-worksheet	yes	none	sheet index 0 is ingested; empty first sheet is 400 even with a tabular later sheet (cp4)	none	
enrichment-survives-restart	yes	none	no signal	none	
storage-dir-default	no	none (tempfile offers gettempdir and mkdtemp, no app-default convention)	service starts and serves without STORAGE_DIR (cp6); location untested	none	
comparator-name-matching	yes	none	price__lte is 400 (cp3); EXACT or padded comparators untested	none	
failed-reingestion-cache-disabled	yes	none	disabled-cache failures return 404/400 (cp5); prior-data survival untested in that mode	none	
config-comment-marker	yes	configparser: whole-line # or ; with leading whitespace allowed; no inline comments by default	'# ...' and '   # ...' lines ignored, KEY=VALUE applied (cp6); ';' and inline # untested	neutral	
single-column-tabular	no	split: csv.reader/DictReader read one column fine; csv.Sniffer raises 'Could not determine delimiter'	b'name\na\n' ingests as one column (cp1 test_single_column_csv)	fix	ABCFGHJK's 400 (11 misses incl. test_single_column_csv) is Sniffer's verdict; the rule fixes it only if the agent follows the reader, not the Sniffer.
cache-enabled-unset	partly	configparser getboolean raises ValueError on '' and on '   '	whitespace-only CACHE_ENABLED fails startup (cp5 test_whitespace_fails_startup); empty string untested	fix	v8B read empty and whitespace-only as unset and failed test_whitespace_fails_startup; getboolean rejects both.
stable-descending-sort	yes	sorted(reverse=True) keeps equal elements in input order	desc ties keep source order (cp2 test_sort_desc_tie_stability)	neutral	
non-numeric-stored-values	yes	float('') and float('not-a-number') raise, so such cells are skipped	non-numeric cells excluded from less/greater (cp3 test_excludes_non_numeric_cell)	neutral	float() also accepts nan, inf and ' 5 ' as stored values; untested.
enrich-repeated	partly	none (parse_qs returns ['yes','no']; cgi getfirst takes the first)	yes-then-no and no-then-yes both leave enrichment off (cp7)	none	ABCFGHJK and v8B failed [yes-then-no] by taking the first value; comparing parse_qs's list to ['yes'] would pass, indexing [0] would not.
byte-order-mark	yes	'utf-8' codec keeps U+FEFF in the first field; only 'utf-8-sig' strips it	no signal	none	Rule would point against stripping when charset=utf-8 is explicit; never tested.
upload-part-filename	yes	none (cgi.FieldStorage, removed in 3.13, accepted parts without filename as plain fields)	no signal; helper always sends a filename	none	
