slug	risk	outcome	entry_shown	bet	probs	readings	why
enrichment-failure-semantics	15	ok	ABCFGHJK/T92	R1	R1=85; R2=25; R3=15	R1=ordinary error statuses and envelope, prior enriched dataset kept intact; R2=new dedicated error class; R3=best effort, store non-enriched and return 200	'standard JSON errors' and 'must not downgrade' each rule out one alternative, leaving R1 as the obvious assertion for a test.
stable-descending-sort	15	ok	v8/T22	R1	R1=85; R2=40	R1=reverse comparison with ties in source order; R2=reverse of the ascending result flipping ties	An oracle written as sorted(key, reverse=True) matches R1, and 'stable' names exactly that; a reversed-list oracle is the residual risk.
enrich-exact-yes	12	ok	min4/T68	R1	R1=88; R2=20	R1=Only literal enrich=yes enables; every other state silently leaves enrichment off; R2=Wrong or repeated enrich values are HTTP 400 like force	The spec states all other states keep enrichment off, so a test sending enrich=YES or enrich=no most naturally expects 200 without metadata.
invalid-url-definition	12	ok	min4/T3	R1	R1=88; R2=45; R3=70	R1=Only http/https with non-empty host is valid; other schemes and junk are 400; R2=Anything urlparse accepts is valid; R3=Non-HTTP schemes are 404	The Invalid URL fixture is almost certainly a bare non-URL string, which R1 rejects; exotic schemes are rarely tested.
underscore-column-filter	12	untested	ABCHJK/A40	R1	R1=88; R2=70; R3=80	R1=Names starting with _ are control params, so such columns cannot be filtered; unknown _ params ignored; R2=Unknown _ params are 400; R3=_col__exact is parsed as a filter on column _col	Columns beginning with underscore are rare fixtures; the only realistic exposure is whether an unknown _param should be ignored or rejected.
config-repeated-key	12	untested	ABCFGHJK/T70	R1	R1=85; R2=60; R3=55; R4=40	R1=Last occurrence wins; R2=First occurrence wins; R3=Duplicate key is invalid config and fails startup; R4=Values accumulate	Duplicate keys in the config file are unlikely to be tested, and last-wins is the convention a test author would fall back on if they were.
cors-headers	12	ok	v8/T12	R1	R1=90; R2=65; R3=90	R1=Access-Control-Allow-Origin on every response, errors included, plus answerable OPTIONS preflight; R2=Allow-Origin on success responses only; R3=Full CORS suite with credentials, exposed headers, max-age	Tests will assert the Allow-Origin header on at least one response and maybe a preflight; the chosen reading is a superset of the narrower ones so it fails only if a test demands a header nobody listed.
empty-storage-dir	12	ok	ABCFGHJK/T74	R1	R1=80; R2=80; R3=70	R1=STORAGE_DIR= is invalid config and fails startup; R2=STORAGE_DIR= means unset, use the default; R3=STORAGE_DIR= is the empty path, the working directory	An empty STORAGE_DIR is a corner no test is likely to visit; both failing startup and falling back would pass an untested edge.
enrich-outside-convert	12	ok	ABCFGHJK/T89	R1	R1=85; R2=45	R1=enrich is ignored on upload, query and export; R2=enrich is rejected with 400 outside convert	Applies only on /convert describes where the flag matters, and the filter section already says unprefixed non-comparator params are ignored, so a 400 would contradict that.
export-bytes-format	12	ok	ABCHJK/A53	R1	R1=88; R2=50; R3=88	R1=UTF-8, comma delimiter, RFC-4180 minimal quoting, CRLF; R2=Re-emit the source delimiter; R3=Same but LF line endings	The spec waives exact newline and quoting, so tests will parse the body with a default CSV reader, which expects commas whatever the source used.
failed-reingestion-cache-disabled	12	ok	v8/T67	R1	R1=85; R2=50	R1=A failed re-ingestion with caching disabled leaves the prior dataset queryable; R2=A failed re-download with caching disabled wipes the stored dataset, later query is 404	The spec guarantees survival for the forced case and gives no test author a reason to assert data loss in the milder one.
repeat-convert-behavior	12	ok	ABCHJK/A14	R1	R1=85; R2=35	R1=With caching enabled a repeat convert is served from cache and not re-fetched; R2=Repeat convert always re-fetches	Checkpoint 5 settles it: caching is on by default and repeats return the cached dataset.
spreadsheet-cell-values	12	ok	min4/T45	R1	R1=85; R2=85	R1=Render every cell to text then run the CSV type inference; R2=Use native cell types directly	Spreadsheet fixtures will hold plain numbers and strings, where both paths agree; only a date or boolean cell could tell them apart.
worksheet-used-range	12	ok	v8/T54	R1	R1=85; R2=70	R1=Blank rows skipped, rows padded or truncated to header width; R2=Every row of the used range is a data row, blank rows included	Fixtures are unlikely to carry blank rows, and if a trailing blank row sneaks in, skipping it matches what the CSV path already does.
filter-param-classification	12	ok	ABCFGHJK/T32	R1	R1=88; R2=30; R3=60	R1=Ignore any name that is neither a control nor a well-formed filter; R2=Reject unrecognised names with 400; R3=Ignore plain names but reject unknown underscore-prefixed names	The spec says such params are ignored and the error table has no unknown-parameter row.
first-worksheet	12	ok	v8/T53	R1	R1=88; R2=35; R3=30	R1=sheet at index 0 in workbook order; R2=the active sheet; R3=first tabular sheet	'first' is workbook order and the next sentence forbids skipping a bad first sheet; the residual risk is a fixture built around wb.active.
force-value-cache-disabled	12	ok	min4/T53	R1	R1=85; R2=40	R1=force with a value is 400 regardless of caching; R2=force is inert when caching is disabled	'Any force value is HTTP 400' has no caveat and a test author who probes this at all will assert the unconditional sentence.
metadata-dataset-or-query	12	ok	ABCHJK/A110	R1	R1=88; R2=25	R1=row_count and column_count describe the whole stored dataset computed at ingestion; R2=they describe the current filtered page	Metadata is 'recomputed from current source bytes' on re-ingestion, so it is stored per dataset, and a test on an unfiltered query passes either way.
request-host-definition	12	ok	ABCHJK/A103	R1	R1=85; R2=55; R3=15	R1=Host header verbatim including port; R2=host with port stripped; R3=configured external hostname	A test will likely check the https scheme and the /datasets/<id> suffix, and if it checks the host it will use the one the client sent.
unknown-query-params	12	ok	v8B/T34	R1	R1=85; R2=25	R1=unknown parameters ignored, only the seven listed controls are checked for repeats; R2=unknown or unlisted underscore parameters are 400	'Params without _ and without __ are ignored' backs R1; an unknown _foo control is the one place a test could disagree.
upload-part-filename	12	untested	v8B/T68	R1	R1=85; R2=80	R1=a field named file or attachment counts with or without a filename; R2=only a part with a filename counts, plain field is 400	Test uploads almost always carry a filename so both pass; the spec says 'field' which favours R1 if a bare field is ever sent.
column-details-duplicate-names	10	untested	v8A/T68	R1	R1=88; R2=85; R3=60	R1=First column with a repeated name supplies the column_details entry; R2=Last column wins; R3=Entry aggregates every column sharing the name	Duplicate headers in an enrichment fixture are unlikely, and first-wins is the same rule most implementations fall into.
dataset-survives-restart	10	ok	v8B/T10	R1	R1=93; R2=55	R1=Id is a pure hash of the URL, identical across restarts; R2=Counter-based id reproduced only within a process (or via persisted counter)	A deterministic id is the safe reading; a restart test could easily compare ids from two processes and a counter would fail it.
enrichment-survives-restart	10	untested	v8B/T114	R1	R1=90; R2=40	R1=Enrichment state and metadata persist with the dataset in STORAGE_DIR; R2=Enrichment lives only in the process; a restart returns non-enriched	The spec calls it stored state and persisted datasets must survive restart, so a restart test would expect the metadata back.
column-named-rowid	10	ok	v8B/T33	R1	R1=85; R2=60; R3=50	R1=Source column stays in columns and values; object-key collision unasserted; R2=Source column renamed or dropped from columns; R3=Request is an error	A source column literally named rowid is an edge test authors rarely write, and if they did, columns verbatim with a 200 is the reading the determinism rules support.
formula-cells	10	untested	ABCHJK/A62	R1	R1=85; R2=75; R3=80	R1=Use cached values when present, uncached formula renders as empty string, never evaluate; R2=Emit the formula text itself; R3=Evaluate simple formulas	The spec says formula behaviour is not required, so at most a test asserts a well-formed 200 for a workbook that happens to contain one.
size-limit-on-cache-hit	10	ok	v8A/T54	R1	R1=85; R2=80; R3=88	R1=No size check on a cache hit, nothing was read; R2=Re-download every request when a limit is set; R3=Record each dataset's byte size and re-check it on cache hits	Testing the limit against an already-cached dataset needs a restart with a changed config, which is an unlikely fixture; the plain oversized-source 400 is what will be asserted.
config-list-splitting	10	ok	ABCHJK/A83	R1	R1=90; R2=75	R1=Split on comma, strip each item, drop empties; R2=Split on comma, keep items verbatim	Fixtures are most likely plain a.com,b.org, and trimming only widens what is accepted.
empty-allowlist	10	ok	ABCFGHJK/T73	R1	R1=90; R2=80; R3=85	R1=Empty ORIGIN_ALLOWLIST is not configured, all pass; R2=Empty list is configured, everything 403; R3=Empty entry matches every host, Referer still required	An empty allowlist assignment is an unlikely fixture, and the not-configured reading is what a reference with `if allowlist:` does.
encoding-detection	10	ok	ABCFGHJK/T2	R1	R1=90; R2=50; R3=70	R1=BOM, then strict UTF-8, then latin-1; R2=BOM only, else latin-1; R3=Statistical detector, latin-1 only on no candidate	A UTF-8 file without BOM and a latin-1 file are the likely fixtures, and this order decodes both correctly.
enrich-repeated	10	flip	v8B/T104	R1	R1=90; R2=80; R3=85	R1=Repeated enrich is not an error; all-yes enriches; R2=Repeated enrich is 400; R3=One occurrence wins	Repeated enrich is an unlikely test; the repeat rule names only the seven control parameters.
force-scope-routes	10	ok	v8/T66	R1	R1=90; R2=85	R1=force belongs to /convert only, lower-case; ignored elsewhere; R2=force is reserved on every route and case-insensitive	force on /datasets is an unlikely fixture and the bypass section is about /convert.
spreadsheet-summary-counts	10	ok	min4/T73	R1	R1=90; R2=70	R1=Spreadsheet summary keeps filetype, row_count, column_count; no column_details; R2=Spreadsheet summary carries filetype only	at least governs the summary generally and a test would assert filetype excel and absence of column_details, not an exact key set.
comparator-name-matching	10	ok	ABCFGHJK/T37	R1	R1=90; R2=80; R3=60	R1=four names matched exactly and case-sensitively, aliases 400; R2=case-insensitive names; R3=accept aliases like gt/lt	Tests will send an unknown comparator and expect 400; uppercase comparator names are unlikely to be probed.
control-value-matching	10	ok	ABCHJK/A30	R1	R1=88; R2=70	R1=hide and lists/objects exact and case-sensitive, no trim; R2=case-insensitive match	'valid only with value hide; any other value is 400' points at exact matching, and a test is far likelier to send show than HIDE.
domain-boundary-rules	10	ok	v8B/T96	R1	R1=90; R2=45; R3=40	R1=hostname equals suffix or ends with dot plus suffix, case-insensitive, hostname only; R2=plain string suffix; R3=exact equality only	'domain-boundary rules' exists to fail notexample.com and 'suffix' exists to pass www.example.com; R1 is the reading the phrase was written for.
objects-duplicate-columns	10	untested	v8A/T22	R1	R1=85; R2=20; R3=15	R1=build object in column order, last duplicate wins, rowid key set last; R2=reject with an error; R3=source rowid column wins	Neither collision is likely to be probed, and the spec's flat 'includes rowid (row number)' favours R1 if one is.
referer-without-hostname	10	ok	min4/T63	R1	R1=85; R2=20	R1=unparseable Referer is 403 not allowed, blank Referer is 403 missing; R2=unparseable Referer is 400	The section offers only 403 outcomes and step 4 says otherwise 403, so a test author has no 400 to reach for.
config-comment-marker	8	ok	v8/T76	R1	R1=92; R2=82; R3=90	R1=Only whole lines starting with # are comments; # inside a value is literal; R2=# starts a comment anywhere on the line; R3=Both # and ; start comment lines	Config fixtures will contain a # line and blank lines; inline comments or ; markers are rarely exercised.
duplicate-empty-headers	8	untested	v8B/T14	R1	R1=92; R2=30	R1=Header cells returned verbatim: empty stays empty, duplicates kept, numeric stays string; R2=Headers de-duplicated, auto-named or type-inferred	columns is typed as strings and tests compare it to the header line; mangling names would break the obvious equality assertion.
excel-label-scope	8	ok	v8B/T111	R1	R1=90; R2=75	R1=Format decided from bytes; both xls and xlsx labelled excel; uploads unaffected; R2=URL extension or Content-Type decides the label	Tests serve real workbook bytes under a workbook name and assert filetype excel, which both readings satisfy; the literal label is spelled out.
filter-duplicate-column	8	untested	v8B/T47	R1	R1=90; R2=85; R3=82; R4=60	R1=Filter applies to the leftmost column with that name; R2=Rightmost column; R3=Any column with the name may match; R4=Duplicate name is 400	Duplicate header fixtures in filter tests are unlikely and first-wins is the default of most implementations.
format-recognition	8	ok	v8B/T63	R1	R1=92; R2=70; R3=60	R1=Detect from bytes (zip/OLE2 magic); extension and Content-Type are hints; R2=By filename or URL extension; R3=By Content-Type header	Fixtures pair the right bytes with the right name, so content detection passes wherever the others do and also covers extensionless URLs.
persisted-datasets-scope	8	ok	v8B/T102	R1	R1=90; R2=45; R3=75	R1=All datasets from convert and upload persist in STORAGE_DIR; other dir is 404; R2=Only ids or only convert results persist, rows re-fetched; R3=Datasets global regardless of directory	The guarantee is unqualified and a restart test will query the old endpoint, which R1 serves in full.
remote-http-error-scope	8	ok	ABCHJK/A4	R1	R1=90; R2=70; R3=75	R1=Follow redirects; final status 400+ or network error is 404; empty 2xx body is 400; R2=Redirects are remote errors (404); R3=Empty 2xx body is also 404	Tests will hit a remote 404 or 500 and an unreachable host; an empty body most naturally reads as non-tabular 400.
sort-duplicate-column	8	untested	min4/T24	R1	R1=90; R2=60; R3=85	R1=Sort by the leftmost column with the repeated name; R2=Duplicate name is ambiguous, 400; R3=Sort by the rightmost column	Duplicate-header sort fixtures are unlikely and the spec lists no error for a known name.
config-line-grammar	8	ok	ABCHJK/A80	R1	R1=90; R2=70; R3=80	R1=Split at the first =, rest is the value; no = or empty key fails startup; R2=Split at the last =; R3=Lines without = are ignored rather than fatal	First-= is what every KEY=VALUE format does and tests will almost surely use plain single-= lines.
non-multipart-definition	8	ok	ABCFGHJK/T47	R1	R1=88; R2=88	R1=Any multipart/* media type counts; missing or non-multipart Content-Type is 415; R2=Only multipart/form-data counts, everything else 415	Tests will send JSON or urlencoded bodies for the 415 and a bare multipart form for the 400; a multipart/mixed probe is very unlikely.
quoted-values-typing	8	untested	v8A/T12	R1	R1=90; R2=30	"R1=Quoting is transport-level; ""1"" and 1 both become the number 1; R2=A quoted field stays text"	Any reference built on a standard CSV reader loses quote information before inference, so quoted numerals will be asserted as numbers.
storage-dir-default	8	ok	ABCHJK/A99	R1	R1=88; R2=88	R1=Fresh temp directory per process, removed at exit; R2=Fixed default such as ./data that persists	Persistence is promised only when the same directory is reused, so tests will set STORAGE_DIR explicitly before asserting survival across restart.
unknown-id-vs-invalid-control	8	ok	min4/T23	R1	R1=85; R2=85	R1=Resolve the dataset first, unknown id with bad _size is 404; R2=Validate controls first, so it is 400	A test combining an unknown id with an invalid control is rare, and either ordering passes when they are tested separately.
upload-field-choice	8	untested	ABCFGHJK/T45	R1	R1=88; R2=70; R3=85	R1=Take file when both file and attachment are present; R2=Reject both-present as 400; R3=Take whichever part comes first in the body	Tests will send one field or neither; both present is not among the listed 400 conditions so a test for it is unlikely.
cache-identical-scope	8	ok	min4/T51	R1	R1=95; R2=85	R1=Whole response identical: status, headers, body, no cache marker; R2=Only the JSON body must match, extra headers or 304 allowed	Tests almost certainly compare status and body of the second /convert to the first and nothing more.
every-request-scope	8	ok	min4/T62	R1	R1=92; R2=85	R1=Every request, any path or method, checked before routing, 403 first; R2=Only data endpoints are checked	Tests will send /convert and /datasets with and without Referer; an unknown-path-without-Referer test is unlikely and R1 matches the wording if it exists.
failed-reingestion-keeps-data	8	ok	ABCHJK/A74	R1	R1=92; R2=25	R1=Failed re-ingestion returns the usual error; stored dataset stays queryable; R2=Failed re-ingestion answers with the cached success	The spec says failures keep existing error codes, which rules out a cached success response.
max-source-size-spelling	8	ok	ABCFGHJK/T72	R1	R1=92; R2=90; R3=88	R1=Plain decimal non-negative integer, trimmed; negatives, suffixes, empty invalid; R2=Anything Python int accepts; R3=Also human suffixes like 10MB	Fixtures will set a plain byte count; only an exotic spelling test could separate these.
repeated-control-param	8	ok	ABCHJK/A31	R1	R1=92; R2=60	R1=Identical repeats of a control are 400; other names may repeat; R2=Only disagreeing repeats are 400	Any repeated control parameter is about repetition, and a test that repeats _size will most likely repeat the same value.
rowid-hide-under-lists	8	ok	v8B/T30	R1	R1=92; R2=20; R3=25	R1=_rowid=hide in lists shape is a valid no-op, 200; R2=400 because nothing to hide; R3=_rowid implies objects shape	hide is the one valid value, and a test of _rowid=hide with the default shape would expect 200.
size-offset-spelling	8	ok	min4/T17	R1	R1=92; R2=90; R3=85; R4=70	R1=ASCII digits only, _size at least 1; R2=Digits with optional sign; R3=Anything Python int accepts; R4=Integral float spellings too	Tests will use 0, -1, abc and 1.5; a leading plus or padded digits is an unlikely fixture.
unknown-id-vs-invalid-filter	8	untested	v8B/T49	R1	R1=92; R2=85	R1=Dataset looked up first, unknown id is 404 even with a bad filter; R2=Filter validated first, 400	Unknown column cannot be judged without the dataset, and tests of unknown ids will most likely carry no filter.
upload-id-derivation	8	ok	v8/T48	R1	R1=92; R2=92; R3=60	R1=Id from file bytes (and charset); filename and field never matter; R2=Id from bytes only, charset irrelevant; R3=Id from whole request including filename	Tests will re-upload the same bytes and expect the same id; a differing-filename check would also pass R1.
dataset-id-derivation	8	ok	ABCHJK-rerun/A1	R1	R1=92; R2=80; R3=88	R1=sha256 of exact source string truncated to 16 hex, no normalisation; R2=normalise URL before hashing; R3=any deterministic id incl. non-hash	Tests can only assert same-source-same-id and different-source-different-id, which any stable hash of the raw string satisfies.
